---------------------------------------- 
Reaction: e+N(D0)->e+N2(D0)               
Type: Ground/MomXfer            
Delta(eV): 0.00           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C1    N    Elastic                  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
15.52	0.5057E-16
16.89	0.5282E-16
18.42	0.5474E-16
20.13	0.5631E-16
22.06	0.5753E-16
24.24	0.5835E-16
26.69	0.5878E-16
29.50	0.5878E-16
32.68	0.5839E-16
36.33	0.5759E-16
40.53	0.5640E-16
45.41	0.5484E-16
51.12	0.5295E-16
57.85	0.5074E-16
65.86	0.4827E-16
75.48	0.4558E-16
87.15	0.4273E-16
101.6	0.3972E-16
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3p_4Do)
Type: Excitation
Delta(eV): 11.79
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C8    N    Excitation    11.79 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.3295E-25
1.371	0.2865E-24
1.420	0.2100E-23
1.476	0.1283E-22
1.537	0.6767E-22
1.606	0.3099E-21
1.685	0.1251E-20
1.774	0.4510E-20
1.877	0.1472E-19
1.997	0.4328E-19
2.137	0.1155E-18
2.301	0.2839E-18
2.492	0.6443E-18
2.715	0.1347E-17
2.971	0.2608E-17
3.261	0.4720E-17
3.584	0.8024E-17
3.938	0.1278E-16
4.320	0.1939E-16
4.730	0.2821E-16
5.163	0.3919E-16
5.616	0.5239E-16
6.098	0.6835E-16
6.603	0.8657E-16
7.137	0.1072E-15
7.705	0.1302E-15
8.311	0.1554E-15
8.960	0.1827E-15
9.662	0.2121E-15
10.43	0.2434E-15
11.26	0.2766E-15
12.17	0.3113E-15
13.17	0.3474E-15
14.29	0.3849E-15
15.52	0.4230E-15
16.89	0.4620E-15
18.42	0.5011E-15
20.13	0.5401E-15
22.06	0.5789E-15
24.24	0.6167E-15
26.69	0.6533E-15
29.50	0.6884E-15
32.68	0.7214E-15
36.33	0.7519E-15
40.53	0.7797E-15
45.41	0.8043E-15
51.12	0.8256E-15
57.85	0.8431E-15
65.86	0.8566E-15
75.48	0.8662E-15
87.15	0.8712E-15
101.6	0.8718E-15
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3p_4Po)
Type: Excitation
Delta(eV): 11.79
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C9    N    Excitation    11.87 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.1263E-25
1.371	0.1139E-24
1.420	0.8593E-24
1.476	0.5392E-23
1.537	0.2911E-22
1.606	0.1359E-21
1.685	0.5573E-21
1.774	0.2035E-20
1.877	0.6709E-20
1.997	0.1986E-19
2.137	0.5326E-19
2.301	0.1312E-18
2.492	0.2977E-18
2.715	0.6208E-18
2.971	0.1198E-17
3.261	0.2156E-17
3.584	0.3639E-17
3.938	0.5746E-17
4.320	0.8637E-17
4.730	0.1243E-16
5.163	0.1706E-16
5.616	0.2251E-16
6.098	0.2897E-16
6.603	0.3615E-16
7.137	0.4407E-16
7.705	0.5264E-16
8.311	0.6176E-16
8.960	0.7131E-16
9.662	0.8123E-16
10.43	0.9144E-16
11.26	0.1018E-15
12.17	0.1121E-15
13.17	0.1223E-15
14.29	0.1324E-15
15.52	0.1419E-15
16.89	0.1510E-15
18.42	0.1594E-15
20.13	0.1669E-15
22.06	0.1734E-15
24.24	0.1789E-15
26.69	0.1831E-15
29.50	0.1861E-15
32.68	0.1877E-15
36.33	0.1879E-15
40.53	0.1868E-15
45.41	0.1843E-15
51.12	0.1806E-15
57.85	0.1756E-15
65.86	0.1695E-15
75.48	0.1625E-15
87.15	0.1547E-15
101.6	0.1461E-15
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3p_4So)
Type: Excitation
Delta(eV): 12.00
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C10   N    Excitation    12.00 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.1646E-25
1.371	0.1516E-24
1.420	0.1182E-23
1.476	0.7597E-23
1.537	0.4202E-22
1.606	0.2010E-21
1.685	0.8453E-21
1.774	0.3167E-20
1.877	0.1072E-19
1.997	0.3264E-19
2.137	0.9011E-19
2.301	0.2288E-18
2.492	0.5360E-18
2.715	0.1156E-17
2.971	0.2308E-17
3.261	0.4306E-17
3.584	0.7543E-17
3.938	0.1238E-16
4.320	0.1935E-16
4.730	0.2897E-16
5.163	0.4143E-16
5.616	0.5697E-16
6.098	0.7641E-16
6.603	0.9943E-16
7.137	0.1264E-15
7.705	0.1574E-15
8.311	0.1925E-15
8.960	0.2316E-15
9.662	0.2747E-15
10.43	0.3218E-15
11.26	0.3726E-15
12.17	0.4268E-15
13.17	0.4840E-15
14.29	0.5442E-15
15.52	0.6062E-15
16.89	0.6701E-15
18.42	0.7350E-15
20.13	0.8002E-15
22.06	0.8655E-15
24.24	0.9300E-15
26.69	0.9928E-15
29.50	0.1054E-14
32.68	0.1112E-14
36.33	0.1167E-14
40.53	0.1218E-14
45.41	0.1265E-14
51.12	0.1308E-14
57.85	0.1344E-14
65.86	0.1376E-14
75.48	0.1401E-14
87.15	0.1419E-14
101.6	0.1430E-14
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3p_2Do)
Type: Excitation
Delta(eV): 12.03
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C11   N    Excitation    12.03 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.3334E-26
1.371	0.3160E-25
1.420	0.2522E-24
1.476	0.1659E-23
1.537	0.9371E-23
1.606	0.4565E-22
1.685	0.1951E-21
1.774	0.7405E-21
1.877	0.2533E-20
1.997	0.7768E-20
2.137	0.2154E-19
2.301	0.5478E-19
2.492	0.1282E-18
2.715	0.2753E-18
2.971	0.5460E-18
3.261	0.1008E-17
3.584	0.1744E-17
3.938	0.2818E-17
4.320	0.4326E-17
4.730	0.6345E-17
5.163	0.8865E-17
5.616	0.1188E-16
6.098	0.1550E-16
6.603	0.1957E-16
7.137	0.2410E-16
7.705	0.2902E-16
8.311	0.3427E-16
8.960	0.3975E-16
9.662	0.4542E-16
10.43	0.5120E-16
11.26	0.5696E-16
12.17	0.6265E-16
13.17	0.6814E-16
14.29	0.7338E-16
15.52	0.7820E-16
16.89	0.8261E-16
18.42	0.8644E-16
20.13	0.8963E-16
22.06	0.9217E-16
24.24	0.9393E-16
26.69	0.9495E-16
29.50	0.9516E-16
32.68	0.9460E-16
36.33	0.9329E-16
40.53	0.9127E-16
45.41	0.8857E-16
51.12	0.8529E-16
57.85	0.8146E-16
65.86	0.7718E-16
75.48	0.7255E-16
87.15	0.6768E-16
101.6	0.6257E-16
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3p_2Po)
Type: Excitation
Delta(eV): 12.14
